Description,Sexual_harassment
"A casting director for a Telugu film allegedly asks aspiring actresses to attend late-night auditions at his private residence, raising concerns about his motives. (Inspired by reports of the ""casting couch"" in Telugu cinema)",1
"A senior Telugu actor makes inappropriate comments about a female co-star's body during a promotional interview, creating an uncomfortable situation. (Inspired by incidents of workplace harassment)",1
A disgruntled ex-girlfriend of a popular Telugu actor leaks private photos and messages online to damage his reputation. (Inspired by revenge tactics used by ex-partners),0
"A renowned Telugu director insists a female lead actress undergo unnecessary cosmetic surgery to fit his vision for the character, pressuring her about her appearance. (Inspired by body image pressure in Indian cinema)",0
"A female screenwriter for a Telugu film pitches a script to a group of male producers who dismiss her ideas without proper consideration, potentially due to gender bias. (Inspired by reports of gender bias in Telugu cinema)",0
"A group of technicians working on a Telugu film set allegedly make lewd comments and ogle female colleagues, creating a hostile work environment. (Inspired by cases of sexual harassment on film sets)",1
A famous Telugu singer uses their celebrity status to pressure a backing vocalist into unwanted physical advances. (Inspired by abuse of power dynamics),1
A rival production house allegedly spreads rumors about a successful Telugu actress' personal life to sabotage her career prospects. (Inspired by smear campaigns in Indian cinema),0
"A demanding acting coach known for working with Telugu actors constantly criticizes a student's appearance and emotional range, hindering their confidence. (Inspired by harsh coaching techniques)",0
"A powerful Telugu talent manager withholds opportunities from clients who refuse their sexual advances, exploiting their career aspirations. (Inspired by abuse of power by agents)",1
"A prominent Telugu choreographer allegedly makes inappropriate advances towards female dancers during rehearsals, creating a tense environment. (Inspired by potential situations within the industry)",1
"A young aspiring actress is pressured by a powerful director to attend a private party at his residence to discuss a role, only to be propositioned for sex later that night.",1
A rising male star receives unwanted sexual advances from a well-known choreographer during a late-night practice session.,1
"A casting director for a major Bollywood film allegedly offers roles to aspiring actresses in exchange for ""favors,"" perpetuating the ""casting couch"" stereotype.",1
"A senior Bollywood actor makes lewd comments about a female co-star's body during a film shoot, creating a hostile work environment.",1
A jealous ex-partner of a famous Bollywood actress leaks intimate photos online to damage her reputation and career.,0
"A renowned Bollywood filmmaker constantly criticizes a female lead actress' weight and appearance, demanding she lose weight for a role despite it being unnecessary for the character.",0
"A talented female screenwriter struggles to get her script considered by a group of male producers who prioritize scripts from male writers, potentially due to gender bias.",0
"A group of male spot boys on a Bollywood film set constantly make sexist jokes and catcall female colleagues, making them feel uncomfortable and unsafe.",1
A famous Bollywood singer uses their celebrity status to pressure a backing vocalist into unwanted physical contact after a performance.,1
A rival production house allegedly starts rumors about a successful Bollywood actor's personal life to sabotage their upcoming film release.,0
"A demanding acting coach known for working with Bollywood stars constantly belittles and yells at students, focusing on their looks and emotions rather than their acting skills.",0
"A powerful Bollywood talent manager withholds career opportunities from clients who refuse their sexual advances, exploiting their vulnerability and desire for success.",1
"A group of female Bollywood playback singers band together to expose a culture of sexual harassment within the music industry, sparking a #MeToo movement within Bollywood.",0
A young female wrestler experiences repeated unwanted sexual comments and advances from a veteran male wrestler during training sessions.,1
A rising star wrestler is pressured by a powerful coach or manager to have sex with a wealthy sponsor in exchange for a title shot.,1
"A male wrestler receives unwanted sexual advances from a promoter or manager, threatening their position on the roster.",1
"A wrestler's character is constantly portrayed in a hyper-sexualized manner, with revealing outfits and suggestive storylines, against their wishes.",1
A jealous ex-wrestler of a popular star spreads rumors about their sexual history to damage their reputation.,0
"A coach or manager constantly criticizes a wrestler's appearance and body type, focusing on their physique instead of their wrestling skills.",0
"A wrestler is subjected to homophobic or transphobic slurs and taunts from other wrestlers or the audience, creating a hostile work environment.",0
"A wrestler is constantly singled out for harsh training exercises or punishment, potentially due to their refusal of sexual advances.",1
"A referee makes unwanted physical contact with a wrestler during a match, exploiting their position of power.",1
A rival wrestling promotion spreads rumors about a wrestler's drug use or personal life to sabotage their career.,0
"A demanding wrestling coach constantly yells at and belittles wrestlers, focusing on their appearance and mistakes more than their in-ring ability.",0
"A talent manager withholds career opportunities from wrestlers who refuse their sexual advances, exploiting their desire for success.",1
"Wrestlers band together to expose a culture of sexual harassment within their wrestling organization, leading to disciplinary action.",0
A young person receives a barrage of sexually suggestive comments and direct messages from strangers on a social media platform.,1
A celebrity is bombarded with lewd comments and insults about their body or appearance on their social media posts.,1
A gamer is constantly harassed and targeted with sexual innuendo during online matches or streams.,1
"Someone impersonates another person online and uses sexually explicit language or images to damage their reputation. (This is called ""sextortion"" if used for blackmail)",1
A person's ex-partner shares intimate photos or videos of them online without their consent. (This is a form of revenge porn),1
"Someone sends unsolicited nude photos or videos to another person on social media, making them feel uncomfortable.",1
A group of people use social media to spread rumors about someone's sexual orientation or past relationships.,0
"A person is constantly belittled and insulted on social media with hateful language or name-calling, but without a sexual nature.",0
Someone is excluded from online groups or discussions because of their gender or perceived sexual orientation.,0
"A person's social media posts are constantly criticized or mocked, creating a hostile online environment.",0
A young female tech professional experiences repeated unwanted sexual comments and advances from a senior male colleague during meetings or online chats.,1
A rising star programmer is pressured by a manager to have dinner with a potential client who makes suggestive remarks throughout the evening.,1
A male software engineer receives unwanted sexual advances from a recruiter who threatens to withhold job opportunities if he doesn't comply.,1
"A female employee is constantly objectified by male colleagues, with comments about her appearance or suggestive jokes about her personal life.",1
A jealous ex-partner of a tech professional spreads rumors about their sexual history online to damage their reputation at work.,0
"A manager constantly criticizes a female employee's work performance based on her appearance or demeanor, rather than her skills.",0
A coach makes suggestive comments about a female athlete's body.,1
A male politician uses sexually charged language towards a female colleague during a meeting.,1
A partner constantly pressures their spouse for unwanted sexual advances.,1
A player on a sports team grabs another player's buttocks inappropriately.,1
A manager asks a female employee out for dinner repeatedly despite her refusals.,1
A teacher makes jokes about sex in class that make students feel uncomfortable.,1
A spouse controls their partner's clothing choices and forbids them from seeing friends.,1
A boss spreads rumors about a female employee's sexual history.,1
A fan catcalls and makes lewd comments towards a female athlete during a game.,1
A politician is caught sending sexually explicit messages to a campaign staffer.,1
A teammate repeatedly asks a player out on dates despite being told no.,1
A coach pressures an athlete for sexual favors in exchange for playing time.,1
"A partner constantly checks a phone for messages, jealous of any interaction.",0
A colleague makes a friendly compliment about someone's appearance.,0
A spouse surprises their partner with flowers and a romantic dinner.,0
A group of friends playfully tease each other about crushes.,0
A couple has a healthy and consensual discussion about their sex life.,0
A politician shakes hands with a colleague and asks about their family.,0
Fans cheer loudly for their favorite athlete during a competition.,0
A crowded bus packed with passengers leads to a woman being groped.,1
A street vendor makes inappropriate comments about a female customer's appearance.,1
A co-worker at a call center sends unsolicited sexual messages to another employee.,1
A landlord makes unwanted sexual advances towards a tenant in exchange for repairs.,1
A professor asks a female student for sexual favors in exchange for a passing grade.,1
"A group of men follow a woman walking home alone at night, making lewd remarks.",1
A doctor makes inappropriate comments about a patient's body during a checkup.,1
A neighbor constantly stares and whistles at a woman walking by their house.,1
A male passenger exposes himself to a woman on the metro.,1
A rickshaw driver takes a detour and makes threats towards a female passenger.,1
A colleague at work constantly brushes up against another employee in a crowded office.,1
A friend persistently asks for sexual pictures despite being told no.,1
A relative makes unwanted sexual jokes or comments during a family gathering.,1
A stranger catcalls and makes lewd gestures towards a woman on the street.,1
A classmate in college sends sexually explicit messages through social media.,1
A customer at a shop makes inappropriate comments about a female employee's body.,1
A supervisor asks a male employee out for drinks with the expectation of sexual favors.,1
A crowded bus packed with passengers leads to a woman being groped.,1
A street vendor makes inappropriate comments about a female customer's appearance.,1
A co-worker at a call center sends unsolicited sexual messages to another employee.,1
A landlord makes unwanted sexual advances towards a tenant in exchange for repairs.,1
A professor asks a female student for sexual favors in exchange for a passing grade.,1
"A group of men follow a woman walking home alone at night, making lewd remarks.",1
A doctor makes inappropriate comments about a patient's body during a checkup.,1
A neighbor constantly stares and whistles at a woman walking by their house.,1
A male passenger exposes himself to a woman on the metro.,1
A rickshaw driver takes a detour and makes threats towards a female passenger.,1
A colleague at work constantly brushes up against another employee in a crowded office.,1
A friend persistently asks for sexual pictures despite being told no.,1
A relative makes unwanted sexual jokes or comments during a family gathering.,1
A stranger catcalls and makes lewd gestures towards a woman on the street.,1
A classmate in college sends sexually explicit messages through social media.,1
A customer at a shop makes inappropriate comments about a female employee's body.,1
A supervisor asks a male employee out for drinks with the expectation of sexual favors.,1
A coach makes suggestive comments about a female athlete's body.,1
A co-worker constantly spreads rumors about another colleague's personal life.,0
A politician uses offensive language towards a female colleague during a meeting.,0
A player on a team repeatedly trips another player during practice.,0
A manager constantly criticizes a female employee's work in a demeaning way.,0
"A teacher yells and insults students in class, creating a hostile environment.",0
"A spouse constantly checks a phone for messages, jealous of any interaction (could be sexual or non-sexual).",0
A boss spreads rumors about a male employee's work performance.,0
A fan catcalls a male athlete during a game.,0
A politician is caught making derogatory remarks about a minority group.,0
A teammate repeatedly asks a player out on dates despite being told no.,0
A group of friends constantly make fun of another friend's appearance.,0
A professor assigns significantly more work to a student they dislike.,0
A partner constantly criticizes their spouse's clothing choices.,0
A colleague makes a friendly compliment about someone's hairstyle.,0
A spouse forgets their partner's birthday.,0
A group of teenagers playfully argue about a movie.,0
A couple has a disagreement about finances.,0
A politician shakes hands with a colleague and disagrees with their policies.,0
Fans cheer loudly for their team during a competition.,0
A coach makes suggestive comments about a female athlete's body.,1
A co-worker constantly spreads rumors about another colleague's personal life.,0
"A partner constantly checks a phone for messages, jealous of any interaction (could be controlling behavior).",0
A teacher makes jokes about a student's appearance in a way that makes them feel uncomfortable.,0
A boss excludes an employee from important meetings because of their race.,0
A group of friends playfully tease each other about crushes.,0
A customer yells at a retail worker for something beyond their control.,0
A politician makes sexist remarks about a female opponent during a debate.,0
A manager constantly criticizes an employee's work in a harsh and demeaning way.,0
A classmate constantly copies another student's homework.,0
"A stranger follows a person down the street, making them feel unsafe.",0
A professor repeatedly singles out a student for negative attention in class.,0
A co-worker constantly asks a female employee out on dates despite her refusals.,1
"A neighbor constantly plays loud music late at night, disturbing others.",0
A manager asks a female employee to wear revealing clothing to work events.,1
A teacher makes unwanted sexual advances towards a student.,1
A group of classmates bully another student online with hurtful messages.,0
A politician is caught sending sexually explicit messages to a campaign staffer.,1
A teammate repeatedly asks a player out on dates despite being told no.,1
A co-worker steals another colleague's credit for their work on a project.,0
A teacher assigns more homework to a particular student because of their religion.,0
A spouse controls their partner's clothing choices and forbids them from seeing friends.,1
A group of fans throw objects onto the field during a sporting event.,0
A man brushes up against a woman inappropriately while waiting in a crowded line.,1
A group of teenagers loudly mock an elderly man for his worn clothing.,0
A vendor makes lewd comments about a woman's appearance as she walks by.,1
Someone cuts in line in front of a person who has been waiting patiently.,0
"A group of people use loud, offensive language, disturbing others waiting for the bus.",0
Someone shoves another person out of the way while trying to board the bus.,0
A man follows a woman closely and makes her feel unsafe.,1
Someone steals another passenger's belongings while they're distracted.,0
A bus driver refuses to let a person with a disability board the bus.,0
"A group of people block the entrance to the bus, preventing others from boarding.",0
A man brushes up against a woman inappropriately while waiting in a crowded line.,1
A group of teenagers loudly mock an elderly man for his clothes.,0
A busker sings offensive lyrics that target a specific person waiting at the stand.,0
A vendor makes suggestive comments about a woman's appearance while trying to sell her something.,1
Someone cuts in line in front of another person and refuses to move when confronted.,0
"A group of people shove and push to get on a crowded bus, causing someone to fall.",0
"A person follows another passenger too closely after they board the bus, making them feel uncomfortable.",0
Someone steals a seat from another passenger who had been saving it for a friend.,0
"A person loudly plays music on their phone without headphones, disturbing others at the stand.",0
A group of people make racist or homophobic remarks towards another passenger.,0
A professor makes suggestive comments about a student's appearance in class.,1
A group of students constantly belittle another student's academic abilities.,0
A teaching assistant pressures a student for sexual favors in exchange for a better grade.,1
A roommate constantly borrows a classmate's belongings without asking and never returns them.,0
A student is repeatedly targeted with offensive jokes or slurs related to their race or ethnicity.,0
A fraternity brother makes unwanted sexual advances towards a female student at a party.,1
A student is excluded from a study group because of their religion.,0
A professor constantly calls on a specific student and makes them feel uncomfortable due to their gender identity.,0
A student is cyberbullied by classmates on social media with embarrassing photos.,0
A group of students deliberately damage another student's project out of jealousy.,0
A student makes suggestive comments about another student's body in the hallway.,1
A group of students constantly tease another student about their clothes or lunchbox.,0
"A teacher makes unwanted physical contact with a student, such as an unnecessary pat on the back.",1
A student is ostracized and excluded from group activities by their classmates.,0
A student is targeted with offensive jokes or slurs related to their disability.,0
A student is pressured to send nude pictures or engage in sexual acts online.,1
A student is deliberately tripped or pushed in the hallway.,0
A teacher constantly criticizes a specific student's work in a demeaning way.,0
A student's locker is repeatedly vandalized with hurtful messages.,0
A group of students spread rumors about another student online.,0
A student grabs another student's buttocks inappropriately in the hallway.,1
A group of students constantly make fun of another student's clothes or appearance.,0
A teacher makes suggestive comments about a student's body during gym class.,1
A student is constantly excluded from group activities during lunch or recess.,0
A student is targeted with offensive jokes or slurs related to their disability.,0
A student in a higher grade corners and threatens a younger student for lunch money.,0
A student is deliberately tripped or pushed in the hallway by another student.,0
A teacher constantly singles out a specific student for negative attention in class.,0
A student receives unwanted sexual messages from another student through social media.,1
"A group of students spread rumors about another student online, damaging their reputation.",0
A student makes suggestive comments or gestures towards another student in class.,1
A group of students constantly tease another student about their clothes or appearance.,0
A teacher asks a student out on a date or makes inappropriate comments about their body.,1
A student is constantly tripped or pushed in the hallway by another student.,0
A group of students use hurtful nicknames or make offensive jokes about another student's disability.,0
A student takes pictures of another student in the locker room without their permission.,1
A student is excluded from group activities or projects because they are new to the school.,0
"A teacher constantly criticizes a specific student's work in front of the class, making them feel humiliated.",0
A student's belongings are stolen or vandalized in their locker.,0
A student is threatened with violence or physical harm by another student.,0
A senior developer makes suggestive comments about a junior developer's appearance during code review.,1
A team lead constantly assigns a specific team member the most tedious and undesirable tasks.,0
A male colleague asks a female colleague out for drinks repeatedly despite her refusals.,1
A manager excludes a qualified employee from a project because of their gender.,0
"A group of colleagues constantly make jokes about someone's coding style or mistakes, creating a hostile environment.",0
A client makes unwanted sexual advances towards a female IT consultant during a business meeting.,1
A developer is constantly belittled and their ideas dismissed during team meetings.,0
A recruiter asks inappropriate questions about a candidate's personal life during an interview.,0
A manager spreads rumors about an employee's performance to undermine their reputation.,0
A colleague takes credit for another person's work and ideas during a presentation.,0
A senior developer makes inappropriate comments about a female colleague's body during a code review.,1
"A team lead constantly assigns a specific developer the most tedious and repetitive tasks, while giving more challenging projects to others.",0
A manager pressures a female employee for unwanted sexual advances at a company event.,1
A colleague constantly sends unwelcome sexual messages or jokes through online chat platforms.,1
A group of developers exclude a new team member from social gatherings and technical discussions.,0
A manager takes credit for a junior developer's work and presents it as their own.,0
A colleague constantly belittles another developer's technical skills or ideas during meetings.,0
"During a video conference, a male colleague makes inappropriate sexual gestures towards a female colleague.",1
A recruiter asks a female candidate inappropriate questions about her personal life during a job interview.,1
"A developer is constantly interrupted and talked over by colleagues during meetings, hindering their ability to participate.",0
A senior developer makes suggestive comments about a female colleague's code during a code review.,1
A team lead constantly assigns a specific developer the most tedious tasks and excludes them from exciting projects.,0
A male colleague asks a female developer out for drinks repeatedly despite her refusals.,1
A manager spreads rumors about an employee's performance to undermine their position.,0
A group of colleagues constantly make jokes about a programmer's accent or cultural background during team lunches.,0
A recruiter makes unwanted sexual advances towards a job candidate during an interview.,1
A teammate takes credit for another developer's work and refuses to acknowledge their contribution.,0
A manager constantly monitors an employee's online activity and makes them feel like they are not trusted.,0
A group of developers exclude a colleague from social gatherings because they are not interested in the same video games.,0
"A senior developer constantly belittles a junior developer in front of the team, hindering their confidence.",0
A doctor makes suggestive comments about a patient's body during a checkup.,1
A nurse is constantly interrupted and talked over by a male colleague during patient rounds.,0
A patient is groped by another patient who is exhibiting inappropriate behavior.,1
A family member of a patient makes unwanted advances towards a nurse.,1
A doctor belittles a medical student's questions or ideas in front of other staff.,0
A security guard makes inappropriate comments about a visitor's appearance.,1
A supervisor assigns a disproportionate amount of busywork to a specific nurse.,0
A patient is verbally abused by a hospital staff member who is frustrated.,0
A group of doctors make jokes about a patient's diagnosis within earshot of the patient's family.,0
A doctor withholds important medical information from a patient because they don't like the patient's questions.,0
A doctor makes suggestive comments about a patient's body during an examination.,1
A nurse repeatedly ignores a patient's call light and shows frustration when they finally respond.,0
A male orderly makes inappropriate comments about a female co-worker's appearance.,1
A visitor to a patient constantly belittles a nurse for perceived mistakes in care.,0
A doctor pressures a medical student for sexual favors in exchange for a better residency recommendation.,1
A group of colleagues constantly gossip about a patient's medical history in the break room.,0
A patient's family member verbally abuses a doctor who is trying to deliver bad news.,0
"A security guard follows a female employee through the hospital after her shift ends, making her feel uncomfortable.",0
A surgeon excludes a qualified female colleague from a surgery because of her gender.,0
A patient is constantly woken up for unnecessary vitals checks or procedures by a rude nurse.,0
A doctor makes suggestive comments about a patient's body during a checkup.,1
A nurse is constantly interrupted and talked over by a male colleague while discussing patient care.,0
A patient is inappropriately touched by a medical professional during an examination.,1
A family member of a patient is verbally abused by a hospital staff member who is frustrated.,0
A group of nurses make discriminatory jokes about a patient's religious beliefs.,0
A doctor pressures a medical resident for sexual favors in exchange for a good recommendation letter.,1
A patient is ignored or left waiting for extended periods by a nurse or doctor.,0
A hospital administrator targets a specific employee for unfair treatment due to a personal grudge.,0
A security guard at the hospital makes unwanted sexual advances towards a visitor.,1
"A doctor constantly criticizes a new intern in public, making them feel humiliated and discouraged.",0
A government official makes suggestive comments about a citizen's appearance while they are trying to get a permit.,1
A supervisor constantly assigns a specific employee the most tedious tasks and excludes them from important meetings.,0
A coworker repeatedly asks a colleague out for lunch or coffee despite their refusals.,1
A manager yells at an employee in front of the public for a minor mistake on a form.,0
A group of colleagues constantly gossip about another employee's personal life in the break room.,0
A superior in power asks a subordinate employee for sexual favors in exchange for a promotion.,1
A citizen is deliberately given the runaround by a government worker and made to wait for unreasonable lengths of time.,0
"A supervisor withholds important information or resources from a specific employee, hindering their ability to do their job.",0
A group of government workers make discriminatory remarks about a citizen's religion or ethnicity while they are seeking assistance.,0
"A superior constantly criticizes a new employee's work in a demeaning manner, creating a hostile work environment.",0
A government official makes suggestive comments about a citizen's appearance while they are applying for a permit.,1
A supervisor constantly assigns a specific employee the most tedious tasks and excludes them from important meetings.,0
A male colleague asks a female colleague out for lunch repeatedly despite her refusals.,1
A manager spreads rumors about an employee's work ethic to undermine their chances of a promotion.,0
A group of colleagues make jokes about a coworker's accent or cultural background during breaks.,0
A supervisor pressures a female employee for sexual favors in exchange for a positive performance review.,1
A coworker deliberately withholds important information from another employee to sabotage their work.,0
A manager constantly micromanages an employee and makes them feel like they are not trusted.,0
A citizen seeking assistance is ignored or treated rudely by a government official.,0
A group of government workers make discriminatory remarks about a citizen's religion or disability.,0
A government official makes suggestive comments about a citizen's appearance while they are trying to get a permit.,1
A supervisor constantly assigns a specific employee the most tedious tasks and excludes them from important meetings.,0
A male colleague asks a female colleague out for drinks repeatedly despite her refusals.,1
A manager spreads rumors about another employee's work performance to undermine a promotion opportunity.,0
A group of colleagues constantly mock a new employee's accent or cultural background during breaks.,0
A superior in a position of power pressures a subordinate employee for sexual favors in exchange for a better job assignment.,1
A citizen is deliberately ignored or given the runaround by a government employee who is unwilling to help.,0
"A department head constantly criticizes a specific employee's work in front of colleagues, making them feel humiliated.",0
A citizen seeking assistance is subjected to offensive jokes or slurs related to their race or religion by a government worker.,0
"A supervisor withholds important information or resources from a specific employee, hindering their ability to do their job effectively.",0
A housekeeper is inappropriately touched by a guest while cleaning their room.,1
A guest is constantly badgered by hotel staff to upgrade their room or purchase additional services they don't want.,0
A front desk clerk makes suggestive comments about a guest's appearance while checking them in.,1
A guest with a disability is denied access to certain amenities or services that are readily available to other guests.,0
A group of hotel staff make offensive jokes about a guest's religion or cultural background.,0
A manager pressures a female employee for sexual favors in exchange for a promotion or better work schedule.,1
A guest is constantly woken up by loud noises from a neighboring room despite complaints to hotel staff.,0
A security guard at the hotel follows a guest around the property in a way that makes them feel unsafe.,0
A guest's belongings are stolen from their room while housekeeping is cleaning.,0
A concierge makes discriminatory remarks about a guest's sexual orientation when they inquire about local attractions.,0
A housekeeper is inappropriately touched by a guest while cleaning their room.,1
A guest is constantly followed or stared at by a hotel employee in a way that makes them feel uncomfortable.,0
A receptionist makes suggestive comments about a guest's appearance while checking them in.,1
A guest is denied service or given a lower quality room because of their race or ethnicity.,0
"A group of hotel staff make loud noise or party late at night, disturbing guests who are trying to sleep.",0
A manager pressures a female employee for sexual favors in exchange for a promotion or better work schedule.,1
A guest's belongings are stolen from their room by a hotel employee.,0
A guest with a disability is denied reasonable accommodations or made to feel unwelcome by hotel staff.,0
A bellhop makes inappropriate comments about a guest's luggage or personal belongings.,0
A guest is constantly badgered by hotel staff to purchase additional services they don't want.,0
A housekeeper is inappropriately touched by a guest while cleaning their room.,1
A guest is constantly badgered by hotel staff to upgrade their room or purchase additional services they don't want.,0
A front desk clerk makes suggestive comments about a guest's appearance during check-in.,1
A manager ignores or dismisses a guest's legitimate complaints about their stay.,0
A group of hotel staff make offensive jokes about a guest's disability within earshot.,0
"A security guard at the hotel follows a guest persistently, making them feel unsafe.",0
A guest is overcharged for services or amenities they did not use.,0
A bellhop makes unwanted sexual advances towards a guest while delivering luggage.,1
A guest is woken up multiple times by loud cleaning noises or disruptive repairs.,0
A manager refuses to accommodate a guest with a disability's request for reasonable modifications to their room.,0
A server makes suggestive comments about a customer's appearance while taking their order.,1
A group of cooks constantly belittle a new dishwasher and make them feel unwelcome in the kitchen.,0
A manager asks a server out on a date repeatedly despite their refusals.,1
A customer is constantly interrupted or spoken down to by a server who seems impatient or rude.,0
A group of servers make discriminatory jokes about a customer's religion or cultural background.,0
A chef pressures a waitress for sexual favors in exchange for a better schedule or favourable treatment.,1
A customer's food is tampered with or deliberately delayed by a disgruntled kitchen staff member.,0
A manager unfairly assigns a specific server the most difficult tables and demanding customers.,0
A busser is constantly harassed and targeted with pranks by other restaurant staff.,0
A customer with a dietary restriction is ridiculed or made to feel unwelcome by a server.,0
Male bus conductor makes suggestive comments about female passenger's clothing.,1
Young woman followed too closely and catcalled by men while walking home alone at night.,1
Agricultural worker faces unwanted sexual advances from supervisor for better pay.,1
Woman at temple inappropriately touched by another devotee in crowded queue.,1
Male colleague in tech startup cracks sexist jokes about female programmers.,1
University student pressured by professor for sexual favors for a good grade.,1
House owner makes unwanted sexual advances towards female tenant requesting repairs.,1
Male customer at local market makes lewd comments about female vendor's appearance.,1
Woman attending Theyyam performance groped by a member of the crowd.,1
Male bus conductor makes suggestive comments about female passenger's clothing.,1
Woman followed too closely and catcalled by men while walking home alone at night.,1
Young woman on tea plantation faces unwanted advances from supervisor for better pay.,1
Woman inappropriately touched by another devotee in crowded temple queue.,1
Male colleague in tech startup cracks sexist jokes about female programmers.,1
Female student pressured by professor for sexual favors for a good grade.,1
House owner makes unwanted advances towards female tenant requesting repairs.,1
Male customer at market makes lewd comments about female vendor's appearance.,1
Woman attending Theyyam performance groped by a member of the crowd.,1
Male bus conductor makes suggestive comments about female passenger's clothing.,1
Woman followed too closely and catcalled by men while walking home alone at night.,1
Young woman on tea plantation faces unwanted sexual advances from supervisor for better pay.,1
Woman inappropriately touched by another devotee in crowded temple queue.,1
Male colleague in tech startup cracks sexist jokes about female programmers.,1
Female student pressured by professor for sexual favors for a good grade.,1
House owner makes unwanted sexual advances towards female tenant requesting repairs.,1
Male customer at local market makes lewd comments about female vendor's appearance.,1
Woman attending Theyyam performance groped by a member of the crowd.,1
A powerful director casts actresses in his films based on their willingness to engage in sexual acts with him.,1
A famous producer pressures a young male actor for sexual favors in exchange for a career-launching role.,1
A casting director makes suggestive comments about a female actress's body during an audition.,1
A celebrity photographer takes advantage of a photoshoot situation to get inappropriately close to a female model.,1
A veteran actor on a film set constantly belittles and makes crude jokes about a female co-star's appearance.,1
A talent agent uses their position of power to coerce a young client into sexual activity.,1
A studio executive threatens to blacklist an actress if she refuses unwanted sexual advances.,1
A costume designer on a movie set makes inappropriate comments about a female actor's wardrobe choices.,1
A hairstylist on set touches a male actor inappropriately during the styling process.,1
"A powerful director casts an actress in a film based on sexual favors, not talent.",1
A famous producer pressures a young male actor for sexual encounters in exchange for career advancement.,1
A casting director makes suggestive comments about a female actor's body during an audition.,1
A studio executive spreads rumors about an actress's personal life to discredit her after she accuses a colleague of harassment.,0
A celebrity photographer takes advantage of a photoshoot situation to take inappropriate pictures of an actress.,1
A seasoned actor on set constantly bullies and belittles a younger female co-star with crude remarks.,0
A talent agent withholds job opportunities from a client who refuses unwanted sexual advances.,1
A movie star uses their power on set to force a kiss or other physical contact on an unwilling co-star during filming.,1
A screenwriter leaks a compromising video of an actress to the press to silence her from speaking out about harassment.,1
"A celebrity couple stages a public ""breakup"" to cover up a sexual harassment scandal involving the male partner.",0
"A powerful director casts an actress in a film based on sexual favors, not talent.",1
A famous producer pressures a young male actor for sexual encounters in exchange for career advancement.,1
A casting director makes suggestive comments about a female actor's body during an audition.,1
A studio executive spreads rumors about an actress's personal life to discredit her after she accuses a colleague of harassment.,0
A celebrity photographer takes advantage of a photoshoot situation to take inappropriate pictures of an actress.,1
A seasoned actor on set constantly bullies and belittles a younger female co-star with crude remarks.,0
A talent agent withholds job opportunities from a client who refuses unwanted sexual advances.,1
A movie star uses their power on set to force a kiss or other physical contact on an unwilling co-star during filming.,1
A screenwriter leaks a compromising video of an actress to the press to silence her from speaking out about harassment.,1
"A celebrity couple stages a public ""breakup"" to cover up a sexual harassment scandal involving the male partner.",0
A manager asks a female employee out for dinner repeatedly despite her refusals.,1
A doctor makes inappropriate comments about a patient's body during a checkup.,1
A professor asks a female student for sexual favors in exchange for a passing grade.,1
A co-worker sends unsolicited sexual messages to another employee.,1
A stranger catcalls and makes lewd comments towards a woman on the street.,1
A prominent doctor uses their position to pressure patients into sexual acts during appointments.,1
A powerful media mogul uses their influence to coerce employees into unwanted sexual encounters.,1
A celebrity chef is exposed for a history of groping and propositioning female staff members in his restaurants.,1
A female athlete bravely speaks out about years of sexual abuse at the hands of her coach.,1
A social media campaign encourages victims of workplace sexual harassment to share their stories using the #MeToo hashtag.,0
A comedian faces public backlash after a former colleague accuses them of sexual assault.,1
A politician resigns from office after multiple women come forward with allegations of sexual misconduct.,1
A powerful businessman is accused of serial sexual harassment by multiple women in his industry.,1
"A survivor of sexual assault shares their story on a national platform, inspiring others to come forward.",0
A group of women in a male-dominated industry band together to fight for workplace protections against sexual harassment.,0
A man walking behind a woman on a deserted footpath makes lewd comments about her body.,1
A group of teenagers block a woman's path on a narrow footpath and make suggestive remarks.,1
A vendor on a crowded footpath grabs a woman's arm inappropriately while trying to sell her something.,1
A man exposes himself to a woman walking alone on a poorly lit footpath at night.,1
"Someone following a person too closely on a quiet footpath, making them feel uncomfortable and unsafe.",0
"A group of people make loud, offensive catcalls towards women walking by on the footpath.",1
Someone deliberately bumps into another person on a crowded footpath in a way that seems intentional.,0
"A person walks too close to another person on a narrow footpath when there's space to maintain distance, making them feel uncomfortable.",0
A person shouts insults or threats at someone walking on the footpath.,0
"A group of people block the footpath with their belongings, forcing pedestrians to walk close by them in an uncomfortable way.",0
A woman walking alone on a poorly lit footpath at night is followed by a group of men making lewd comments.,1
A man walking on a crowded footpath brushes up against a woman inappropriately in a sexual manner.,1
A vendor on a footpath makes suggestive remarks about a woman's appearance as she walks by.,1
A group of teenagers block the path of a pedestrian and make offensive gestures or threats.,0
"Someone deliberately bumps into another pedestrian on a narrow footpath, causing them to lose their balance.",0
"A person walking their dog allows the animal to lunge or jump at pedestrians on the footpath, making them feel uncomfortable.",0
A man walking closely behind a woman on a deserted footpath makes suggestive comments about her body.,1
A group of teenagers catcall and make lewd gestures towards a woman walking alone on a poorly lit footpath.,1
A vendor on a crowded footpath brushes up against a woman inappropriately while trying to sell her something.,1
A man exposes himself to a woman walking on a secluded section of the footpath.,1
A person following another person too closely on a dark footpath makes them feel unsafe (could escalate to sexual harassment).,0
A group of people use offensive language or slurs directed at a person based on their race or ethnicity while walking on a footpath.,0
